day_of_week,date,nb_customers_on_day,open,promotion,school_holiday,state_holiday_a,state_holiday_b,state_holiday_c,predictions
4,2015,607,1,0,0,False,False,False,5909.35769047619
3,2014,402,1,1,0,False,False,False,4558.866952380952
3,2014,532,1,0,0,False,False,False,5453.744470968128
5,2013,406,1,0,0,False,False,False,4097.858758019756
2,2015,828,1,0,0,False,False,False,6237.447400793651
3,2014,582,1,0,0,False,False,False,5227.40599461391
4,2013,852,1,1,1,False,False,False,6957.667761904761
5,2013,709,1,1,0,False,False,False,6977.801310837298
2,2014,1178,1,1,1,False,False,False,11502.054595238096
2,2015,634,1,0,0,False,False,False,4719.097295815296
2,2014,517,1,1,0,False,False,False,5693.928356514804
6,2013,905,1,0,0,False,False,False,8116.833388657306
4,2014,581,1,0,0,False,False,False,5480.676740108319
4,2015,657,1,1,0,True,False,False,6639.360339931342
2,2014,485,1,1,0,False,False,False,5786.797138258367
4,2015,528,1,0,1,False,False,False,4668.915412698411
4,2015,410,1,0,0,False,False,False,4435.9416544190235
5,2015,445,1,0,0,False,False,False,5164.3538831168835
6,2013,367,1,0,0,False,False,False,3506.5331853710454
2,2013,753,1,1,0,False,False,False,7364.897070177331
1,2014,494,1,0,0,False,False,False,4851.21372539715
1,2014,408,1,0,0,False,False,False,4186.0880988456
3,2015,648,1,1,0,False,False,False,7038.842603105312
7,2013,0,0,0,0,False,False,False,0.0
2,2014,1044,1,0,0,False,False,False,8684.38950793651
5,2013,719,1,0,0,False,False,False,6966.506132672881
6,2015,345,1,0,0,False,False,False,3452.9961410176093
3,2013,566,1,1,1,False,False,False,6122.234193362195
2,2013,777,1,1,0,False,False,False,8856.967443392094
4,2015,1189,1,1,0,False,False,False,11257.12883333333
5,2015,998,1,1,1,False,False,False,8268.438523809524
6,2014,297,1,0,0,False,False,False,2685.1297339882335
2,2013,438,1,0,1,False,False,False,3692.065047619048
2,2013,1099,1,1,0,False,False,False,9716.165258411525
1,2013,323,1,0,0,False,False,False,3294.008424963924
2,2014,449,1,0,0,False,False,False,4251.67122724038
3,2013,614,1,1,0,False,False,False,6531.879520465208
1,2014,601,1,1,1,False,False,False,6867.81290692641
4,2015,501,1,1,1,False,False,False,5289.478227272728
2,2013,580,1,0,1,False,False,False,5847.724354256854
4,2015,769,1,1,0,False,False,False,7507.504180300985
3,2013,1018,1,1,1,False,False,False,8793.03033333333
3,2013,717,1,0,0,False,False,False,6263.989293706292
4,2015,1139,1,0,0,False,False,False,8665.442666666664
7,2013,0,0,0,0,False,False,False,0.0
5,2014,338,1,0,0,False,False,False,3068.632964285714
1,2014,1236,1,1,0,False,False,False,11636.951772915812
1,2015,858,1,0,0,False,False,False,6697.6465
2,2015,1476,1,0,0,False,False,False,11473.836666666668
2,2014,737,1,1,0,False,False,False,7196.942074502242
3,2013,701,1,0,1,False,False,False,5539.780250000002
5,2014,282,1,1,0,False,False,False,3512.562857142857
5,2014,710,1,0,0,False,False,False,7041.1411509775035
2,2015,421,1,0,0,False,False,False,4047.657495813827
6,2013,380,1,0,0,False,False,False,3483.4133420583744
2,2013,720,1,1,0,False,False,False,7785.797120945105
1,2013,612,1,0,1,False,False,False,6184.136051282054
1,2013,863,1,0,1,False,False,False,6387.778499999999
4,2014,642,1,0,0,False,False,False,4899.969561932004
6,2014,544,1,0,0,False,False,False,5180.887364337386
2,2013,1046,1,0,1,False,False,False,8406.405
5,2013,652,1,1,0,False,False,False,6569.009292402533
5,2014,651,1,1,0,False,False,False,6853.9121888323225
6,2013,550,1,0,0,False,False,False,5409.142893428685
6,2014,538,1,0,0,False,False,False,5431.348076973127
6,2013,877,1,0,0,False,False,False,7554.371742767942
5,2015,837,1,1,0,False,False,False,10310.792446664449
4,2015,508,1,1,0,False,False,False,5585.802964285715
1,2014,822,1,1,0,False,False,False,9178.424861832611
1,2014,962,1,0,0,False,False,False,6218.408943833944
5,2014,789,1,1,0,False,False,False,8243.19493584194
7,2014,0,0,0,0,False,False,False,0.0
2,2014,615,1,1,0,False,False,False,6704.157963832033
1,2013,367,1,0,0,False,False,False,3565.5555717667116
3,2013,598,1,0,0,False,False,False,5344.691781152375
6,2013,518,1,0,0,False,False,False,5210.65792185932
2,2014,714,1,1,0,False,False,False,7928.2664062170625
1,2014,1013,1,1,0,False,False,False,10318.330157647904
4,2014,710,1,0,0,False,False,False,5915.861604735994
1,2015,1290,1,1,0,False,False,False,14122.305076118331
4,2013,711,1,0,1,False,False,False,5256.984674603173
7,2013,0,0,0,0,False,False,False,0.0
5,2014,860,1,0,0,False,False,False,7706.4363750693765
2,2015,850,1,1,0,False,False,False,8924.85982114663
1,2014,497,1,0,0,False,False,False,4472.417234140859
7,2013,0,0,0,0,False,False,False,0.0
6,2013,515,1,0,0,False,False,False,5012.246226131146
6,2014,951,1,0,1,False,False,False,7281.380900793652
1,2014,1166,1,0,0,False,False,False,9262.858976190477
3,2015,854,1,0,0,False,False,False,6834.0843103840625
2,2013,394,1,1,0,False,False,False,5077.44479455241
4,2015,576,1,0,0,False,False,False,5353.942553786739
2,2014,744,1,0,0,False,False,False,6499.184737734485
7,2014,0,0,0,0,False,False,False,0.0
6,2013,977,1,0,0,False,False,False,8116.760090548344
5,2013,676,1,0,0,False,False,False,6048.7408856421325
2,2013,689,1,1,0,False,False,False,7108.506262591831
3,2014,681,1,1,1,False,False,False,7129.7889810192655
5,2015,522,1,0,1,False,False,False,5459.321666666668
2,2013,1080,1,1,0,False,False,False,9483.387579343467
3,2013,458,1,0,0,False,False,False,4509.5892446760745
6,2014,510,1,0,0,False,False,False,4969.698648360147
5,2013,775,1,1,0,False,False,False,7801.406670283522
7,2013,0,0,0,0,False,False,False,0.0
2,2014,1561,1,0,1,False,False,False,12892.79533333333
2,2014,962,1,1,0,False,False,False,9602.500084514557
7,2014,0,0,0,0,False,False,False,0.0
4,2014,963,1,1,0,False,False,False,6950.298619047621
2,2014,1682,1,1,0,False,False,False,14772.893333333333
6,2013,551,1,0,0,False,False,False,5193.516307280306
1,2014,378,1,1,0,False,False,False,5134.168333333334
5,2014,622,1,0,0,False,False,False,5824.869390340285
1,2014,681,1,1,0,False,False,False,8016.867009110171
4,2013,710,1,1,0,False,False,False,6617.4765577815115
5,2015,833,1,1,0,False,False,False,8277.580744667093
6,2013,301,1,0,0,False,False,False,2733.034504192391
6,2013,908,1,0,0,False,False,False,6745.562278138529
1,2015,763,1,1,0,False,False,False,8435.976301282051
3,2014,836,1,1,1,False,False,False,8284.370619047619
1,2013,1327,1,0,1,False,False,False,10467.686904761906
1,2013,1170,1,1,0,False,False,False,11362.79888095238
2,2013,767,1,1,1,False,False,False,8393.569964285714
2,2014,547,1,0,1,False,False,False,5571.511349206349
5,2014,553,1,1,0,False,False,False,5853.5614418728
6,2013,491,1,0,0,False,False,False,4954.777274946498
5,2013,599,1,0,0,False,False,False,5774.580347021442
4,2014,744,1,1,0,False,False,False,7257.335009131908
3,2015,1515,1,1,1,False,False,False,14506.573571428573
4,2013,461,1,0,1,False,False,False,5054.328332972584
7,2013,0,0,0,0,False,False,False,0.0
7,2015,0,0,0,0,False,False,False,0.0
3,2014,378,1,1,1,False,False,False,3582.318428571428
6,2013,805,1,0,0,False,False,False,7959.165351260665
2,2013,491,1,0,0,False,False,False,4897.55113300495
1,2013,472,1,0,0,False,False,False,4032.541111444111
1,2014,1562,1,1,0,False,False,False,13809.66857142857
4,2015,666,1,0,0,False,False,False,5831.679757752051
1,2014,404,1,0,0,False,False,False,3932.154420634921
6,2014,847,1,0,0,False,False,False,7433.830647866024
4,2013,376,1,1,0,False,False,False,4580.133488095238
2,2015,1682,1,1,0,False,False,False,14564.34
7,2013,0,0,0,0,False,False,False,0.0
7,2014,0,0,0,0,False,False,False,0.0
6,2015,826,1,0,0,False,False,False,8744.68770400433
3,2013,737,1,1,0,False,False,False,7416.376172612967
7,2014,0,0,0,0,False,False,False,0.0
1,2014,0,0,0,1,False,True,False,0.0
3,2014,632,1,1,0,False,False,False,5404.46626911977
1,2015,871,1,1,0,False,False,False,9577.785802572938
2,2014,902,1,1,0,False,False,False,9437.38752573815
7,2014,0,0,0,1,False,False,False,0.0
1,2013,1193,1,0,1,False,False,False,9674.411
4,2013,585,1,0,1,False,False,False,6032.582428571428
5,2013,791,1,0,1,False,False,False,5669.359329365078
3,2014,1720,1,1,0,False,False,False,13003.049166666668
3,2015,579,1,1,0,False,False,False,6853.037058316687
5,2015,999,1,0,0,False,False,False,7996.730230158731
4,2013,790,1,1,0,False,False,False,8094.419888888888
2,2013,1476,1,1,0,False,False,False,16331.271333333332
2,2013,689,1,1,0,False,False,False,7108.506262591831
6,2013,484,1,0,0,False,False,False,4898.295001507867
1,2013,607,1,0,0,False,False,False,5922.219956349207
1,2014,716,1,0,0,False,False,False,5873.02199703255
7,2015,0,0,0,0,False,False,False,0.0
6,2015,341,1,0,0,False,False,False,3362.1383540570496
5,2014,2677,1,1,0,False,False,False,14933.41
6,2013,582,1,0,0,False,False,False,5585.268743705328
3,2015,2241,1,1,0,False,False,False,15864.73
6,2015,517,1,0,0,False,False,False,5374.931384786771
3,2014,1029,1,1,0,False,False,False,10028.338785714284
4,2013,450,1,0,0,False,False,False,4489.967295066042
2,2015,766,1,1,0,False,False,False,7736.6474888999865
4,2013,517,1,0,1,False,False,False,4797.279537573537
1,2014,929,1,0,0,False,False,False,7464.65394047619
3,2014,610,1,1,0,False,False,False,6395.7872689554615
2,2015,490,1,0,1,False,False,False,4674.8239047619045
3,2014,453,1,0,1,False,False,False,4612.2350869408365
1,2013,3171,1,0,0,False,False,False,16332.741666666667
6,2014,1881,1,0,0,False,False,False,14357.11
3,2014,962,1,1,1,False,False,False,8895.439134920634
6,2013,1251,1,0,0,False,False,False,10802.42793253968
1,2013,627,1,0,0,False,False,False,5140.218440436198
4,2013,563,1,0,0,False,False,False,4905.788180704914
3,2015,763,1,0,1,False,False,False,7484.601750000001
3,2013,507,1,1,1,False,False,False,5613.794142857143
6,2015,862,1,0,0,False,False,False,7759.6817338217315
2,2014,1563,1,1,0,False,False,False,17404.114246031746
4,2015,455,1,1,0,False,False,False,5116.696123015873
5,2013,764,1,1,0,False,False,False,7481.124719936235
3,2015,1906,1,1,1,False,False,False,16520.296333333335
3,2013,757,1,1,0,False,False,False,7463.262364061461
2,2013,675,1,0,0,False,False,False,5371.669804112555
1,2014,429,1,1,0,False,False,False,5449.137166666666
2,2013,745,1,1,0,False,False,False,7899.293430337035
3,2015,659,1,0,1,False,False,False,5523.901060606059
7,2014,0,0,0,0,False,False,False,0.0
5,2014,1599,1,0,0,False,False,False,11898.42
7,2015,0,0,0,0,False,False,False,0.0
3,2014,806,1,1,0,False,False,False,8316.63025664613
7,2013,0,0,0,0,False,False,False,0.0
6,2015,614,1,0,0,False,False,False,6279.985370350082
5,2015,453,1,0,0,False,False,False,4144.37446920868
6,2015,402,1,0,0,False,False,False,3923.239372500067
1,2013,960,1,0,1,False,False,False,9934.79105952381
4,2013,856,1,1,0,False,False,False,7990.961623221166
6,2014,589,1,0,0,False,False,False,5556.013037193696
1,2013,1096,1,1,0,False,False,False,10877.14517919267
7,2013,0,0,0,0,False,False,False,0.0
1,2013,749,1,0,0,False,False,False,6262.367774864023
4,2014,493,1,0,0,False,False,False,4703.785293574375
1,2014,0,0,0,1,False,True,False,0.0
5,2013,925,1,0,0,False,False,False,7049.140832528586
2,2013,948,1,1,0,False,False,False,9098.41749082342
1,2014,988,1,0,0,False,False,False,6883.687833333334
3,2014,1087,1,1,0,False,False,False,11744.276666666665
1,2013,1093,1,1,0,False,False,False,10605.204345709843
3,2014,756,1,1,1,False,False,False,7255.248873015873
7,2014,0,0,0,0,False,False,False,0.0
6,2015,825,1,0,0,False,False,False,7786.746655122656
2,2015,1205,1,1,0,False,False,False,13137.024416666669
2,2013,351,1,1,1,False,False,False,4071.6625
7,2013,0,0,0,0,False,False,False,0.0
4,2013,483,1,0,0,False,False,False,4184.719784010107
2,2013,648,1,1,0,False,False,False,6794.874828976579
6,2015,786,1,0,0,False,False,False,7239.805724338998
5,2013,629,1,0,0,False,False,False,5123.386066756771
1,2015,1174,1,1,0,False,False,False,13483.907666666666
5,2013,175,1,0,1,False,False,False,1405.9260962648464
4,2014,1910,1,0,1,False,False,False,12514.62
3,2014,647,1,1,0,False,False,False,7136.987354617604
1,2015,698,1,1,1,False,False,False,8384.3105
3,2014,749,1,0,0,False,False,False,5645.115961288713
4,2014,428,1,0,0,False,False,False,4177.7078414502175
2,2014,384,1,0,1,False,False,False,3994.3546688311685
6,2014,520,1,0,0,False,False,False,5473.41241902764
5,2014,578,1,0,0,False,False,False,5119.717164572784
6,2014,462,1,0,0,False,False,False,4759.64529518987
6,2015,668,1,0,0,False,False,False,6803.2784874747185
5,2013,804,1,0,1,False,False,False,6032.530595238096
2,2013,431,1,0,1,False,False,False,3903.391795288044
6,2015,490,1,0,0,False,False,False,4903.387036611951
4,2015,1108,1,1,0,False,False,False,9878.312932539684
5,2013,989,1,0,1,False,False,False,8340.378077501446
7,2015,0,0,0,0,False,False,False,0.0
6,2013,694,1,0,0,False,False,False,6619.027640936134
4,2014,948,1,1,0,False,False,False,8458.56344047619
4,2015,618,1,1,0,False,False,False,6799.210378555183
6,2013,266,1,0,0,False,False,False,2299.598618138606
6,2013,388,1,0,0,False,False,False,3734.595603916195
3,2014,567,1,0,1,False,False,False,4998.2368037518045
6,2013,380,1,0,0,False,False,False,3483.4133420583744
5,2013,592,1,0,1,False,False,False,5642.894686174936
3,2013,552,1,0,0,False,False,False,5242.254892060164
2,2015,708,1,1,0,False,False,False,6504.389414565829
3,2015,535,1,0,1,False,False,False,4416.88725
2,2013,661,1,1,1,False,False,False,6786.1129383394355
7,2015,0,0,0,0,False,False,False,0.0
1,2013,0,0,0,0,True,False,False,0.0
3,2013,621,1,0,0,False,False,False,4986.180565656567
1,2013,754,1,0,0,False,False,False,6330.040306610055
5,2014,1211,1,1,0,False,False,False,11021.013302808304
3,2014,837,1,1,1,False,False,False,8093.586845238095
5,2015,677,1,1,0,False,False,False,7638.122617646242
4,2013,416,1,1,0,False,False,False,4306.359693787164
2,2015,479,1,0,0,False,False,False,3570.3353809523805
4,2013,589,1,0,0,False,False,False,4922.156382077742
3,2013,581,1,1,1,False,False,False,5266.221238095237
7,2013,0,0,0,0,False,False,False,0.0
4,2013,657,1,0,0,False,False,False,4884.677546451876
5,2013,854,1,1,0,False,False,False,8415.234859834609
7,2015,0,0,0,0,False,False,False,0.0
6,2013,471,1,0,0,False,False,False,4629.123539705694
4,2014,598,1,0,0,False,False,False,5561.132410715728
4,2013,319,1,0,0,False,False,False,3239.8965853541445
3,2013,0,0,0,1,False,False,True,0.0
6,2013,465,1,0,0,False,False,False,4573.085766779661
1,2013,839,1,0,0,False,False,False,5693.231775876903
1,2013,738,1,1,0,False,False,False,7468.652750540999
7,2015,0,0,0,0,False,False,False,0.0
6,2013,492,1,0,0,False,False,False,4963.795989912893
5,2013,987,1,1,0,False,False,False,7805.8321428571435
4,2013,335,1,1,0,False,False,False,3791.535880952381
1,2014,3508,1,1,1,False,False,False,22352.08
4,2013,716,1,1,0,False,False,False,6804.5256950301255
6,2013,377,1,0,0,False,False,False,3417.1491705927037
3,2013,1176,1,1,0,False,False,False,11159.601666666667
2,2014,462,1,1,0,False,False,False,4924.708218253969
4,2015,454,1,1,0,False,False,False,5139.477742063492
3,2013,372,1,0,0,False,False,False,3891.019261904763
2,2013,710,1,0,0,False,False,False,5912.448332964118
5,2015,0,0,1,1,False,True,False,0.0
3,2013,373,1,0,0,False,False,False,3789.5199950483393
2,2015,1201,1,1,0,False,False,False,11878.59280952381
1,2014,650,1,1,1,False,False,False,7456.517099206349
4,2013,508,1,1,0,False,False,False,5126.61104651695
2,2014,879,1,1,0,False,False,False,9230.722311716063
5,2015,769,1,1,1,False,False,False,7155.152824934124
2,2014,435,1,1,0,False,False,False,4786.926863636363
2,2013,930,1,1,1,False,False,False,9433.225091991346
7,2013,0,0,0,0,False,False,False,0.0
6,2014,501,1,0,0,False,False,False,4947.412686894961
6,2014,474,1,0,0,False,False,False,4667.31572222547
6,2014,589,1,0,0,False,False,False,5556.013037193696
5,2014,0,0,0,1,False,False,True,0.0
3,2013,624,1,1,0,False,False,False,6572.297250471751
5,2014,861,1,0,0,False,False,False,7140.7812974802955
5,2014,546,1,0,0,False,False,False,5034.491458515079
7,2015,0,0,0,0,False,False,False,0.0
4,2013,1068,1,1,0,False,False,False,9953.425655844154
1,2015,500,1,0,0,False,False,False,4940.221284632035
3,2014,444,1,0,0,False,False,False,4726.9801495171505
3,2014,499,1,1,0,False,False,False,5695.866603370485
1,2013,764,1,0,0,False,False,False,6341.161522549636
5,2014,661,1,1,0,False,False,False,6962.274380365934
6,2013,1004,1,0,0,False,False,False,8483.316562437562
1,2013,482,1,1,0,False,False,False,6195.462992063492
7,2015,0,0,0,0,False,False,False,0.0
2,2014,505,1,0,0,False,False,False,4760.161291847043
4,2013,0,0,1,0,True,False,False,0.0
7,2013,0,0,0,0,False,False,False,0.0
3,2013,1584,1,1,0,False,False,False,13140.382333333331
4,2015,668,1,1,0,False,False,False,6748.969489761699
2,2014,507,1,1,0,False,False,False,5859.481347438974
2,2014,1050,1,1,0,False,False,False,10183.17293033355
3,2014,421,1,1,0,False,False,False,4108.658365384615
5,2014,600,1,0,0,False,False,False,5181.329581182938
6,2013,426,1,0,0,False,False,False,4186.600325807365
7,2014,0,0,0,0,False,False,False,0.0
2,2014,333,1,0,0,False,False,False,3498.78051984127
5,2015,802,1,0,0,False,False,False,6777.787041736043
1,2013,590,1,1,0,False,False,False,6612.905688883637
4,2015,501,1,1,0,False,False,False,5807.738852189478
5,2015,905,1,0,1,False,False,False,7021.486222222223
1,2015,575,1,1,0,False,False,False,5464.457525974026
6,2015,343,1,0,0,False,False,False,3311.1054809006355
6,2013,304,1,0,0,False,False,False,2782.5036764864767
2,2015,510,1,0,1,False,False,False,6234.256321428572
5,2014,1176,1,1,0,False,False,False,10207.961000000001
2,2013,464,1,0,1,False,False,False,4595.021238159827
5,2014,384,1,0,1,False,False,False,3942.2826666666665
4,2013,685,1,1,1,False,False,False,6457.644920634922
6,2014,492,1,0,0,False,False,False,5099.232217111003
4,2013,1410,1,0,1,False,False,False,9519.425
2,2013,662,1,1,0,False,False,False,6736.398093155402
6,2013,606,1,0,0,False,False,False,5558.5451075451865
2,2013,1099,1,1,0,False,False,False,9716.165258411525
2,2015,861,1,0,0,False,False,False,6714.1154444444455
4,2014,686,1,0,0,False,False,False,6039.762026298996
1,2015,885,1,1,0,False,False,False,9088.769637140638
1,2013,1041,1,1,0,False,False,False,10419.195402236654
7,2014,0,0,0,0,False,False,False,0.0
1,2013,823,1,1,1,False,False,False,9165.682866494617
1,2015,864,1,1,0,False,False,False,9083.223096904729
5,2014,569,1,1,0,False,False,False,6028.567718337129
4,2014,905,1,0,0,False,False,False,7238.194285714285
7,2013,0,0,0,0,False,False,False,0.0
3,2015,573,1,1,0,False,False,False,5909.376967905606
5,2014,1024,1,1,0,False,False,False,10404.602496031745
5,2014,493,1,1,1,False,False,False,5561.287333333333
3,2014,605,1,1,0,False,False,False,6960.260878288374
7,2015,0,0,0,0,False,False,False,0.0
2,2013,853,1,1,0,False,False,False,8564.007950313577
2,2014,507,1,1,0,False,False,False,5859.481347438974
3,2013,431,1,0,0,False,False,False,4059.7191676101684
1,2013,610,1,0,0,False,False,False,5898.36856931957
4,2013,777,1,1,0,False,False,False,9569.134101759353
7,2013,0,0,0,0,False,False,False,0.0
7,2013,0,0,0,0,False,False,False,0.0
4,2014,793,1,0,1,False,False,False,5916.965083333334
4,2014,516,1,1,0,False,False,False,5978.644753912758
7,2015,0,0,0,0,False,False,False,0.0
6,2013,1831,1,0,0,False,False,False,13324.885702380952
3,2014,1819,1,1,0,False,False,False,14012.615
4,2015,966,1,0,0,False,False,False,8970.170126984123
3,2013,642,1,1,0,False,False,False,7098.857016059189
2,2013,493,1,0,0,False,False,False,4262.9178272118315
6,2015,1201,1,0,0,False,False,False,10470.93535714286
5,2013,822,1,1,0,False,False,False,7349.743201298702
3,2013,539,1,0,0,False,False,False,4736.535697545588
5,2014,1014,1,1,1,False,False,False,8505.171452380951
2,2015,578,1,1,0,False,False,False,7263.597762626264
5,2014,433,1,0,0,False,False,False,3611.493341291063
1,2014,958,1,0,1,False,False,False,9010.392785714284
6,2014,801,1,0,0,False,False,False,7619.981294542792
1,2014,0,0,0,0,True,False,False,0.0
4,2013,868,1,1,0,False,False,False,7673.6054935342445
3,2014,847,1,1,0,False,False,False,8673.286445526692
3,2013,429,1,1,0,False,False,False,4354.987607142857
5,2013,627,1,1,0,False,False,False,6477.921832308589
1,2015,647,1,1,0,False,False,False,6830.952984126984
5,2013,692,1,0,0,False,False,False,5488.381727633477
2,2015,539,1,0,1,False,False,False,4063.180380952381
3,2013,0,0,1,1,False,False,False,0.0
2,2013,824,1,1,0,False,False,False,7230.342305555557
3,2013,786,1,1,0,False,False,False,8034.880806843592
2,2013,587,1,1,1,False,False,False,6005.151447478991
4,2015,489,1,1,0,False,False,False,6234.699494949496
1,2015,838,1,1,1,False,False,False,10919.979136363636
2,2015,703,1,1,0,False,False,False,7862.267622675568
7,2013,0,0,0,0,False,False,False,0.0
7,2015,0,0,0,0,False,False,False,0.0
1,2013,577,1,1,0,False,False,False,6970.286007881008
2,2014,619,1,0,0,False,False,False,5308.931697493349
1,2013,1586,1,1,0,False,False,False,15991.997
6,2014,621,1,0,0,False,False,False,6266.298175242068
4,2013,1381,1,1,1,False,False,False,11264.163333333332
4,2013,445,1,0,1,False,False,False,3893.9348333333332
1,2014,1011,1,1,0,False,False,False,10833.610540472804
7,2015,0,0,0,0,False,False,False,0.0
1,2013,523,1,1,0,False,False,False,6013.6613902502295
6,2014,569,1,0,0,False,False,False,5599.04830406432
6,2013,614,1,0,0,False,False,False,5706.1176621526165
2,2014,918,1,1,1,False,False,False,8744.125702380948
4,2015,635,1,0,1,False,False,False,6026.9012142857155
6,2014,820,1,0,0,False,False,False,7416.042247343912
5,2014,545,1,0,0,False,False,False,5123.360613243782
7,2014,0,0,0,0,False,False,False,0.0
4,2013,0,0,1,1,True,False,False,0.0
3,2013,898,1,1,1,False,False,False,8366.956710317461
2,2013,738,1,1,0,False,False,False,7592.160081936038
3,2015,962,1,1,1,False,False,False,13193.842000000002
3,2013,689,1,1,1,False,False,False,9120.439488095239
7,2013,0,0,0,0,False,False,False,0.0
3,2014,337,1,1,0,False,False,False,4581.248452380952
7,2015,0,0,0,0,False,False,False,0.0
6,2014,290,1,0,0,False,False,False,2555.177229631352
6,2015,289,1,0,0,False,False,False,2658.1079107141145
4,2013,861,1,1,0,False,False,False,8206.71491630772
4,2013,532,1,0,1,False,False,False,4228.7673015873
2,2015,762,1,0,0,False,False,False,5026.245476190476
3,2014,1035,1,0,0,False,False,False,9474.727666666666
2,2014,595,1,1,0,False,False,False,6174.425061854814
5,2014,1135,1,1,1,False,False,False,9963.93726242236
5,2013,913,1,0,0,False,False,False,8002.894514790761
1,2013,1049,1,0,1,False,False,False,10033.935718253968
3,2015,615,1,1,1,False,False,False,5907.366452380952
3,2013,1233,1,1,1,False,False,False,11561.126083333334
1,2014,863,1,1,0,False,False,False,9334.051190656566
4,2015,594,1,1,0,False,False,False,6279.602325729822
5,2015,717,1,0,1,False,False,False,6392.617547619049
4,2014,638,1,1,0,False,False,False,5830.8222882950395
1,2015,515,1,0,0,False,False,False,4931.217871933622
3,2013,753,1,0,1,False,False,False,5452.408585497837
4,2013,743,1,1,0,False,False,False,6916.469890419118
2,2013,621,1,1,0,False,False,False,6678.287944570865
7,2014,0,0,0,0,False,False,False,0.0
6,2013,354,1,0,0,False,False,False,3459.296461626919
7,2015,0,0,0,0,False,False,False,0.0
6,2015,861,1,0,0,False,False,False,7947.542938409028
7,2014,0,0,0,0,False,False,False,0.0
6,2013,687,1,0,0,False,False,False,5938.554404919172
7,2014,0,0,0,0,False,False,False,0.0
5,2015,425,1,0,0,False,False,False,5097.155309523808
3,2013,787,1,0,0,False,False,False,6682.150980436228
7,2014,0,0,0,0,False,False,False,0.0
7,2013,0,0,0,0,False,False,False,0.0
7,2014,0,0,0,0,False,False,False,0.0
7,2013,0,0,0,0,False,False,False,0.0
6,2015,688,1,0,0,False,False,False,5907.175349847867
6,2014,686,1,0,0,False,False,False,6572.961253814688
5,2013,534,1,0,1,False,False,False,5237.732893772893
3,2014,1681,1,0,0,False,False,False,11237.01
6,2014,753,1,0,0,False,False,False,7032.071516082819
2,2013,1806,1,1,0,False,False,False,14224.15516666667
7,2014,0,0,0,0,False,False,False,0.0
5,2015,637,1,1,0,False,False,False,6263.34773989899
7,2013,0,0,0,0,False,False,False,0.0
